sourcedId,status,dateLastModified,enabledUser,orgSourcedId,role,username,userIds,givenName,familyName,middleName,identifier,email,sms,phone,agentSourcedIds,grades,password
staff107496,,,TRUE,'79907002',teacher,107496,,Jack,Garza,Vreeke,,Jack.Vreeke@fortisd.com,,,,,
staff124137,,,TRUE,'79907001',teacher,124137,,Davis,Pete,Sampson,,Davis.Sampson@fortisd.com,,,,,
staff125321,,,TRUE,'79907001',teacher,125321,,Nemo,Dmitri,Pierce,,Nemo.Pierce@fortisd.com,,,,,
staff126717,,,TRUE,'79907002',teacher,126717,,Kelly,Carly,Pierce,,Kelly.Pierce@fortisd.com,,,,,
student0519338,,,TRUE,'79907001',student,519338,,Raheem,John,Pierce,,Raheem.Pierce@fortisd.com,,,,12,
student0527977,,,TRUE,'79907001',student,527977,,Raheem,Cross,Pisoni,,Raheem.Pisoni@fortisd.com,,,,12,
student0529816,,,TRUE,'79907001',student,529816,,Carly,Adele,Hudson,,Carly.Hudson@fortisd.com,,,,12,
student0530803,,,TRUE,'79907001',student,530803,,Jack,Kahn,Sampson,,Jack.Sampson@fortisd.com,,,,12,
student0531333,,,TRUE,'79907001',student,531333,,John,Cross,Henry,,John.Henry@fortisd.com,,,,12,
student0540141,,,TRUE,'79907001',student,540141,,Jennifer,Madison,Sanderson,,Jennifer.Sanderson@fortisd.com,,,,12,
student0540141,,,TRUE,'79907001',student,540141,,Jennifer,Madison,Sanderson,,Jennifer.Sanderson@fortisd.com,,,,12,
student0543143,,,TRUE,'79907001',student,543143,,Raheem,Garza,Pierce,,Raheem.Pierce@fortisd.com,,,,12,
student0543539,,,TRUE,'79907002',student,543539,,Raheem,Dmitri,Kennedy,,Raheem.Kennedy@fortisd.com,,,,11,
student0543566,,,TRUE,'79907001',student,543566,,John,Adele,Henry,,John.Henry@fortisd.com,,,,11,
student0543570,,,TRUE,'79907002',student,543570,,Sammy,Carly,Moore,,Sammy.Moore@fortisd.com,,,,10,
student0543800,,,TRUE,'79907001',student,543800,,Robert,Margaret,Prevost,,Robert.Prevost@fortisd.com,,,,12,
student0544696,,,TRUE,'79907001',student,544696,,Carly,Margaret,Prevost,,Carly.Prevost@fortisd.com,,,,11,
student0545472,,,TRUE,'79907001',student,545472,,Caroline,Cross,Sanderson,,Caroline.Sanderson@fortisd.com,,,,12,
